A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A2,B38,CW12,DQ6,DR13,NA,DR52,NA,0.002066841
A2,B38,CW12,DQ6,DR15,DR51,NA,NA,1.50498e-4
A2,B38,CW12,DQ7,DR11,NA,DR52,NA,8.02657e-5
A2,B38,CW12,DQ7,DR13,NA,DR52,NA,6.01993e-5
A2,B38,CW12,DQ7,DR8,NA,NA,DR53,6.01993e-5
A2,B38,CW12,DQ8,DR4,NA,NA,DR53,1.10365e-4
A2,B39,CW12,DQ2,DR7,NA,NA,DR53,1.20399e-4
A2,B39,CW12,DQ4,DR8,NA,NA,DR53,6.01993e-5
A2,B39,CW12,DQ5,DR1,NA,NA,NA,4.11362e-4
A2,B39,CW12,DQ5,DR10,NA,NA,NA,6.01993e-5
A2,B39,CW12,DQ5,DR16,DR51,NA,NA,2.5083e-4
A2,B39,CW12,DQ7,DR11,NA,DR52,NA,8.72889e-4
A2,B39,CW12,DQ7,DR12,NA,DR52,NA,3.51162e-4
A2,B39,CW12,DQ7,DR4,NA,NA,DR53,2.00664e-4
A2,B39,CW12,DQ8,DR4,NA,NA,DR53,6.01993e-5
A2,B39,CW12,DQ9,DR9,NA,NA,DR53,2.00664e-5
A2,B39,CW2,DQ5,DR1,NA,NA,NA,6.01993e-5
A2,B39,CW5,DQ4,DR8,NA,NA,DR53,6.01993e-5
A2,B39,CW7,DQ2,DR7,NA,NA,DR53,3.41129e-4
A2,B39,CW7,DQ4,DR8,NA,NA,DR53,0.001314351
A2,B39,CW7,DQ5,DR1,NA,NA,NA,2.90963e-4
A2,B39,CW7,DQ5,DR14,NA,DR52,NA,1.30432e-4
A2,B39,CW7,DQ5,DR16,DR51,NA,NA,1.20399e-4
A2,B39,CW7,DQ6,DR13,NA,DR52,NA,8.02657e-5
A2,B39,CW7,DQ6,DR15,DR51,NA,NA,3.00996e-4
A2,B39,CW7,DQ7,DR11,NA,DR52,NA,2.40797e-4
A2,B39,CW7,DQ7,DR12,NA,DR52,NA,8.02657e-5
A2,B39,CW7,DQ7,DR13,NA,DR52,NA,3.21063e-4
A2,B39,CW7,DQ8,DR4,NA,NA,DR53,1.80598e-4
A2,B39,CW7,DQ9,DR7,NA,NA,DR53,6.01993e-5
A2,B40,CW10,DQ2,DR17,NA,DR52,NA,5.21727e-4
A2,B40,CW10,DQ2,DR7,NA,NA,DR53,0.001585247
A2,B40,CW10,DQ2,DR9,NA,NA,DR53,6.01993e-5
A2,B40,CW10,DQ4,DR8,NA,NA,DR53,0.0026889
A2,B40,CW10,DQ5,DR1,NA,NA,NA,0.001675546
A2,B40,CW10,DQ5,DR10,NA,NA,NA,1.50498e-4
A2,B40,CW10,DQ5,DR14,NA,DR52,NA,3.41129e-4
A2,B40,CW10,DQ5,DR16,DR51,NA,NA,2.00664e-4
A2,B40,CW10,DQ6,DR13,NA,DR52,NA,0.010685369
